Sales_in_thousands,__year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
16.919,16.36,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,58.28014952
39.384,19.875,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,91.37077766
14.114,18.225,27.390754838709682,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,77.0435912007742
8.588,29.725,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,91.38977933
20.397,22.255,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,62.7776392
18.78,23.555,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,84.56510502
1.38,39.0,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,134.6568582
19.747,18.07297520661157,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,71.19120671
9.231,28.675,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,81.87706856
17.527,36.125,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,83.9987238
91.561,12.475,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,71.18145132
39.35,13.74,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,95.63670253
27.851,20.19,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,85.82840825
83.257,13.36,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,84.25452581
63.729,22.525,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,113.8545976
15.943,27.1,44.475,4.6,275.0,112.2,75.0,201.0,3.378025806451613,18.5,22.0,115.6213578
6.536,25.725,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,113.7658739
11.185,18.225,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,83.48309358
14.785,18.07297520661157,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,109.5091165
145.519,9.25,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,46.36334747
135.126,11.225,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,67.31446216
24.629,10.31,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,69.9913956
42.593,11.525,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,72.03091719
26.402,13.025,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,81.11854333
17.947,36.225,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,141.14115
32.299,9.125,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,48.2976361
21.855,5.16,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,23.27627233
107.995,18.07297520661157,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,71.83803944
7.854,12.36,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,65.95718396
32.775,14.18,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,69.52135505
31.148,13.725,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,80.02378204
32.306,12.64,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,53.56619987
13.462,17.325,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,101.3292807
53.48,19.54,27.390754838709682,3.0608974358974357,185.94871794871796,107.48717948717946,71.15,187.34358974358975,3.378025806451613,17.951923076923077,23.844155844155843,77.0435912007742
30.696,18.07297520661157,29.185,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,101.6552441
76.034,7.75,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,52.08489875
4.734,12.545,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,65.65050834
71.186,10.185,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,67.87610784
88.028,12.275,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,23.844155844155843,80.83147017
0.916,58.47,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,188.144323
227.061,15.06,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,90.21170005
16.767,15.51,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,71.13529161
31.038,13.425,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,70.07832154
111.313,11.26,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,49.64500177
101.323,18.07297520661157,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,92.85412522
181.749,12.025,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,61.22700031
70.227,7.425,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,44.08370946
113.369,12.76,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,76.50918456
35.068,8.835,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,67.35101072
245.815,10.055,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,62.5037395
175.67,18.07297520661157,12.315,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,43.11713201
63.403,14.21,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,80.49953671
276.747,16.64,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,87.63549578
155.787,13.175,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,62.09504839
125.338,23.575,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,100.0248023
220.65,7.85,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,47.38953131
540.561,15.075,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,89.40193473
